preference,aldermanic_2012,votes,ald_total,pct
BOB DONOVAN,1,1441,9727,15
TOM BARRETT,1,8260,9727,85
WRITE-IN,1,26,9727,0
BOB DONOVAN,2,1843,9676,19
TOM BARRETT,2,7805,9676,81
WRITE-IN,2,28,9676,0
BOB DONOVAN,3,3368,15587,22
TOM BARRETT,3,12138,15587,78
WRITE-IN,3,81,15587,1
BOB DONOVAN,4,2155,8528,25
TOM BARRETT,4,6348,8528,74
WRITE-IN,4,25,8528,0
BOB DONOVAN,5,4926,13410,37
TOM BARRETT,5,8446,13410,63
WRITE-IN,5,38,13410,0
BOB DONOVAN,6,1172,9662,12
TOM BARRETT,6,8435,9662,87
WRITE-IN,6,55,9662,1
BOB DONOVAN,7,1295,10415,12
TOM BARRETT,7,9089,10415,87
WRITE-IN,7,31,10415,0
BOB DONOVAN,8,2324,4948,47
TOM BARRETT,8,2614,4948,53
WRITE-IN,8,10,4948,0
BOB DONOVAN,9,2487,9934,25
TOM BARRETT,9,7414,9934,75
WRITE-IN,9,33,9934,0
BOB DONOVAN,10,4249,13561,31
TOM BARRETT,10,9270,13561,68
WRITE-IN,10,42,13561,0
BOB DONOVAN,11,7795,14240,55
TOM BARRETT,11,6432,14240,45
WRITE-IN,11,13,14240,0
BOB DONOVAN,12,1421,4362,33
TOM BARRETT,12,2928,4362,67
WRITE-IN,12,13,4362,0
BOB DONOVAN,13,6674,12713,52
TOM BARRETT,13,6013,12713,47
WRITE-IN,13,26,12713,0
BOB DONOVAN,14,4916,14016,35
TOM BARRETT,14,9075,14016,65
WRITE-IN,14,25,14016,0
BOB DONOVAN,15,891,7090,13
TOM BARRETT,15,6170,7090,87
WRITE-IN,15,29,7090,0
