ward,ward_name,"joe davis, sr.",tom barrett,james methu,bob donovan,write-in
0001,City of Milwaukee Ward 1,86,99,16,86,0
0002,City of Milwaukee Ward 2,21,16,3,7,1
0003,City of Milwaukee Ward 3,56,201,4,109,0
0004,City of Milwaukee Ward 4,139,275,10,78,1
0005,City of Milwaukee Ward 5,57,95,9,63,0
0006,City of Milwaukee Ward 6,113,206,17,151,0
0007,City of Milwaukee Ward 7,22,57,4,66,0
0008,City of Milwaukee Ward 8,102,198,9,141,1
0009,City of Milwaukee Ward 9,78,101,4,58,0
0010,City of Milwaukee Ward 10,82,170,14,145,2
0011,City of Milwaukee Ward 11,69,128,6,72,0
0012,City of Milwaukee Ward 12,60,101,7,59,0
0013,City of Milwaukee Ward 13,33,42,4,54,0
0014,City of Milwaukee Ward 14,97,125,5,25,0
0015,City of Milwaukee Ward 15,58,99,8,124,1
0016,City of Milwaukee Ward 16,99,145,16,61,1
0017,City of Milwaukee Ward 17,52,81,8,55,0
0018,City of Milwaukee Ward 18,58,93,9,72,1
0019,City of Milwaukee Ward 19,50,61,7,35,2
0020,City of Milwaukee Ward 20,94,89,9,51,0
0021,City of Milwaukee Ward 21,87,72,8,32,0
0022,City of Milwaukee Ward 22,46,71,4,23,0
0023,City of Milwaukee Ward 23,13,18,1,16,0
0024,City of Milwaukee Ward 24,16,12,5,2,0
0025,City of Milwaukee Ward 25,63,51,4,32,1
0026,City of Milwaukee Ward 26,67,69,4,35,0
0027,City of Milwaukee Ward 27,76,65,2,33,0
0028,City of Milwaukee Ward 28,10,10,0,7,0
0029,City of Milwaukee Ward 29,22,25,8,11,0
0030,City of Milwaukee Ward 30,58,71,5,26,0
0031,City of Milwaukee Ward 31,44,49,2,19,0
0032,City of Milwaukee Ward 32,121,167,12,99,1
0033,City of Milwaukee Ward 33,126,254,17,320,0
0034,City of Milwaukee Ward 34,44,103,8,107,0
0035,City of Milwaukee Ward 35,18,71,5,114,0
0036,City of Milwaukee Ward 36,47,66,6,43,0
0037,City of Milwaukee Ward 37,54,39,8,21,0
0038,City of Milwaukee Ward 38,45,37,3,22,0
0039,City of Milwaukee Ward 39,62,60,7,53,0
0040,City of Milwaukee Ward 40,57,65,6,20,0
0041,City of Milwaukee Ward 41,52,45,4,24,0
0042,City of Milwaukee Ward 42,108,71,13,38,0
0043,City of Milwaukee Ward 43,49,58,6,4,0
0044,City of Milwaukee Ward 44,116,85,4,42,0
0045,City of Milwaukee Ward 45,80,79,7,24,0
0046,City of Milwaukee Ward 46,27,38,6,9,0
0047,City of Milwaukee Ward 47,70,70,9,14,0
0048,City of Milwaukee Ward 48,31,53,4,22,0
0049,City of Milwaukee Ward 49,58,49,7,20,0
0050,City of Milwaukee Ward 50,44,38,4,15,0
0051,City of Milwaukee Ward 51,56,50,5,12,0
0052,City of Milwaukee Ward 52,81,74,4,14,0
0053,City of Milwaukee Ward 53,25,30,0,6,0
0054,City of Milwaukee Ward 54,55,45,5,5,0
0055,City of Milwaukee Ward 55,75,133,2,79,0
0056,City of Milwaukee Ward 56,89,76,11,11,3
0057,City of Milwaukee Ward 57,90,124,8,13,0
0058,City of Milwaukee Ward 58,52,77,11,8,0
0059,City of Milwaukee Ward 59,151,169,15,24,1
0060,City of Milwaukee Ward 60,99,96,10,13,1
0061,City of Milwaukee Ward 61,65,85,12,7,1
0062,City of Milwaukee Ward 62,58,62,9,4,0
0063,City of Milwaukee Ward 63,52,62,10,7,1
0064,City of Milwaukee Ward 64,154,138,10,24,0
0065,City of Milwaukee Ward 65,127,125,18,17,0
0066,City of Milwaukee Ward 66,58,64,7,16,0
0067,City of Milwaukee Ward 67,52,44,7,13,0
0068,City of Milwaukee Ward 68,104,124,10,37,0
0069,City of Milwaukee Ward 69,90,87,8,19,0
0070,City of Milwaukee Ward 70,139,133,6,38,3
0071,City of Milwaukee Ward 71,79,63,6,18,2
0072,City of Milwaukee Ward 72,129,89,7,37,0
0073,City of Milwaukee Ward 73,106,122,9,48,0
0074,City of Milwaukee Ward 74,85,74,6,38,0
0075,City of Milwaukee Ward 75,35,79,5,76,2
0076,City of Milwaukee Ward 76,54,69,9,27,0
0077,City of Milwaukee Ward 77,41,53,6,49,0
0078,City of Milwaukee Ward 78,59,112,10,60,1
0079,City of Milwaukee Ward 79,54,99,14,86,0
0080,City of Milwaukee Ward 80,59,210,7,178,0
0081,City of Milwaukee Ward 81,7,66,4,93,0
0082,City of Milwaukee Ward 82,19,98,4,145,2
0083,City of Milwaukee Ward 83,27,108,4,162,1
0084,City of Milwaukee Ward 84,13,77,9,86,0
0085,City of Milwaukee Ward 85,20,144,7,127,1
0086,City of Milwaukee Ward 86,19,129,5,132,0
0087,City of Milwaukee Ward 87,11,66,1,76,0
0088,City of Milwaukee Ward 88,17,94,4,84,0
0089,City of Milwaukee Ward 89,40,115,4,128,0
0090,City of Milwaukee Ward 90,46,107,14,106,0
0091,City of Milwaukee Ward 91,87,133,14,83,0
0092,City of Milwaukee Ward 92,43,207,6,142,1
0093,City of Milwaukee Ward 93,20,150,3,97,0
0094,City of Milwaukee Ward 94,26,43,3,10,2
0095,City of Milwaukee Ward 95,41,55,16,19,0
0096,City of Milwaukee Ward 96,65,144,13,49,1
0097,City of Milwaukee Ward 97,80,137,10,65,3
0098,City of Milwaukee Ward 98,94,86,20,14,0
0099,City of Milwaukee Ward 99,122,162,15,49,0
0100,City of Milwaukee Ward 100,80,111,5,13,0
0101,City of Milwaukee Ward 101,135,128,14,20,0
0102,City of Milwaukee Ward 102,109,186,14,23,0
0103,City of Milwaukee Ward 103,143,144,16,35,3
0104,City of Milwaukee Ward 104,95,115,15,16,0
0105,City of Milwaukee Ward 105,47,40,6,2,1
0106,City of Milwaukee Ward 106,37,58,3,2,0
0107,City of Milwaukee Ward 107,74,74,11,1,0
0108,City of Milwaukee Ward 108,82,75,3,7,0
0109,City of Milwaukee Ward 109,77,79,7,3,0
0110,City of Milwaukee Ward 110,43,36,1,2,0
0111,City of Milwaukee Ward 111,55,36,5,3,0
0112,City of Milwaukee Ward 112,55,83,3,7,0
0113,City of Milwaukee Ward 113,58,55,5,6,1
0114,City of Milwaukee Ward 114,58,71,6,8,1
0115,City of Milwaukee Ward 115,111,99,10,11,0
0116,City of Milwaukee Ward 116,41,39,3,8,0
0117,City of Milwaukee Ward 117,54,41,7,7,0
0118,City of Milwaukee Ward 118,95,48,4,11,0
0119,City of Milwaukee Ward 119,57,82,7,8,0
0120,City of Milwaukee Ward 120,42,58,5,6,0
0121,City of Milwaukee Ward 121,74,53,5,0,0
0122,City of Milwaukee Ward 122,58,65,6,15,2
0123,City of Milwaukee Ward 123,53,132,11,30,1
0124,City of Milwaukee Ward 124,17,60,6,23,0
0125,City of Milwaukee Ward 125,53,335,13,70,0
0126,City of Milwaukee Ward 126,64,252,11,51,1
0127,City of Milwaukee Ward 127,22,262,6,62,1
0128,City of Milwaukee Ward 128,26,206,11,43,0
0129,City of Milwaukee Ward 129,22,183,3,54,2
0130,City of Milwaukee Ward 130,17,93,7,19,1
0131,City of Milwaukee Ward 131,23,286,9,77,0
0132,City of Milwaukee Ward 132,41,509,13,147,2
0133,City of Milwaukee Ward 133,20,119,6,32,0
0134,City of Milwaukee Ward 134,14,108,4,36,0
0135,City of Milwaukee Ward 135,19,138,5,55,2
0136,City of Milwaukee Ward 136,17,123,5,41,1
0137,City of Milwaukee Ward 137,26,124,6,34,0
0138,City of Milwaukee Ward 138,79,477,22,79,2
0139,City of Milwaukee Ward 139,93,179,11,61,1
0140,City of Milwaukee Ward 140,43,72,1,7,0
0141,City of Milwaukee Ward 141,53,89,6,13,1
0142,City of Milwaukee Ward 142,82,87,7,4,1
0143,City of Milwaukee Ward 143,48,52,6,3,0
0144,City of Milwaukee Ward 144,32,40,5,4,0
0145,City of Milwaukee Ward 145,23,25,2,1,0
0146,City of Milwaukee Ward 146,14,26,3,0,0
0147,City of Milwaukee Ward 147,68,68,6,4,0
0148,City of Milwaukee Ward 148,65,75,8,4,1
0149,City of Milwaukee Ward 149,64,59,5,4,0
0150,City of Milwaukee Ward 150,41,40,6,7,0
0151,City of Milwaukee Ward 151,43,41,3,5,0
0152,City of Milwaukee Ward 152,28,29,1,2,0
0153,City of Milwaukee Ward 153,81,85,13,20,0
0154,City of Milwaukee Ward 154,47,52,7,6,0
0155,City of Milwaukee Ward 155,25,26,7,4,0
0156,City of Milwaukee Ward 156,51,62,3,12,1
0157,City of Milwaukee Ward 157,37,51,4,19,0
0158,City of Milwaukee Ward 158,32,58,4,8,0
0159,City of Milwaukee Ward 159,29,59,6,17,0
0160,City of Milwaukee Ward 160,51,50,5,7,1
0161,City of Milwaukee Ward 161,14,24,1,1,0
0162,City of Milwaukee Ward 162,17,31,1,0,0
0163,City of Milwaukee Ward 163,47,54,13,20,0
0164,City of Milwaukee Ward 164,48,104,14,43,0
0165,City of Milwaukee Ward 165,25,48,3,37,2
0166,City of Milwaukee Ward 166,6,44,2,18,1
0167,City of Milwaukee Ward 167,27,184,9,71,2
0168,City of Milwaukee Ward 168,31,401,9,116,1
0169,City of Milwaukee Ward 169,25,30,1,4,0
0170,City of Milwaukee Ward 170,14,31,0,7,0
0171,City of Milwaukee Ward 171,10,3,0,1,0
0172,City of Milwaukee Ward 172,59,37,3,7,0
0173,City of Milwaukee Ward 173,56,60,6,8,1
0174,City of Milwaukee Ward 174,90,121,5,12,1
0175,City of Milwaukee Ward 175,60,78,9,7,1
0176,City of Milwaukee Ward 176,50,87,8,8,0
0177,City of Milwaukee Ward 177,67,297,16,71,6
0178,City of Milwaukee Ward 178,39,206,9,88,1
0179,City of Milwaukee Ward 179,43,242,6,71,0
0180,City of Milwaukee Ward 180,15,169,9,44,0
0181,City of Milwaukee Ward 181,28,401,6,95,1
0182,City of Milwaukee Ward 182,20,204,6,78,0
0183,City of Milwaukee Ward 183,32,239,9,90,2
0184,City of Milwaukee Ward 184,52,230,9,73,1
0185,City of Milwaukee Ward 185,18,247,14,77,0
0186,City of Milwaukee Ward 186,15,223,10,104,3
0187,City of Milwaukee Ward 187,9,26,0,7,1
0188,City of Milwaukee Ward 188,6,38,3,14,1
0189,City of Milwaukee Ward 189,54,80,5,17,0
0190,City of Milwaukee Ward 190,14,44,3,21,1
0191,City of Milwaukee Ward 191,3,16,1,2,0
0192,City of Milwaukee Ward 192,14,22,0,5,1
0193,City of Milwaukee Ward 193,51,61,9,14,0
0194,City of Milwaukee Ward 194,24,45,6,9,0
0195,City of Milwaukee Ward 195,36,36,6,13,1
0196,City of Milwaukee Ward 196,30,53,2,37,1
0197,City of Milwaukee Ward 197,27,44,5,11,0
0198,City of Milwaukee Ward 198,49,87,6,25,1
0199,City of Milwaukee Ward 199,51,116,6,12,1
0200,City of Milwaukee Ward 200,30,58,5,11,0
0201,City of Milwaukee Ward 201,22,38,5,15,0
0202,City of Milwaukee Ward 202,41,142,4,56,1
0203,City of Milwaukee Ward 203,34,228,9,80,0
0204,City of Milwaukee Ward 204,28,167,6,83,0
0205,City of Milwaukee Ward 205,26,166,9,100,0
0206,City of Milwaukee Ward 206,26,180,3,80,0
0207,City of Milwaukee Ward 207,15,77,6,108,0
0208,City of Milwaukee Ward 208,12,86,1,128,1
0209,City of Milwaukee Ward 209,4,89,7,150,0
0210,City of Milwaukee Ward 210,13,72,2,122,0
0211,City of Milwaukee Ward 211,9,60,1,97,0
0212,City of Milwaukee Ward 212,8,53,0,120,0
0213,City of Milwaukee Ward 213,19,93,1,123,1
0214,City of Milwaukee Ward 214,10,48,2,48,0
0215,City of Milwaukee Ward 215,3,15,1,31,0
0216,City of Milwaukee Ward 216,3,21,2,32,0
0217,City of Milwaukee Ward 217,7,37,2,84,0
0218,City of Milwaukee Ward 218,3,51,3,108,2
0219,City of Milwaukee Ward 219,3,43,2,59,0
0220,City of Milwaukee Ward 220,8,50,3,84,0
0221,City of Milwaukee Ward 221,9,131,8,149,0
0222,City of Milwaukee Ward 222,5,21,2,52,0
0223,City of Milwaukee Ward 223,2,32,3,88,0
0224,City of Milwaukee Ward 224,9,19,2,50,0
0225,City of Milwaukee Ward 225,2,11,2,48,1
0226,City of Milwaukee Ward 226,2,24,1,10,0
0227,City of Milwaukee Ward 227,29,68,4,63,0
0228,City of Milwaukee Ward 228,2,19,0,27,0
0229,City of Milwaukee Ward 229,1,11,0,12,0
0230,City of Milwaukee Ward 230,8,43,3,32,0
0231,City of Milwaukee Ward 231,2,15,0,10,0
0232,City of Milwaukee Ward 232,2,7,0,24,0
0233,City of Milwaukee Ward 233,1,18,1,6,0
0234,City of Milwaukee Ward 234,8,25,5,9,0
0235,City of Milwaukee Ward 235,18,140,6,50,0
0236,City of Milwaukee Ward 236,10,30,8,20,1
0237,City of Milwaukee Ward 237,6,24,4,25,1
0238,City of Milwaukee Ward 238,3,12,0,21,1
0239,City of Milwaukee Ward 239,5,23,2,25,0
0240,City of Milwaukee Ward 240,12,29,4,29,0
0241,City of Milwaukee Ward 241,15,151,6,84,0
0242,City of Milwaukee Ward 242,14,166,6,76,0
0243,City of Milwaukee Ward 243,22,278,7,133,1
0244,City of Milwaukee Ward 244,22,202,8,88,4
0245,City of Milwaukee Ward 245,14,190,4,90,0
0246,City of Milwaukee Ward 246,31,312,10,122,3
0247,City of Milwaukee Ward 247,11,118,5,79,2
0248,City of Milwaukee Ward 248,32,238,7,100,3
0249,City of Milwaukee Ward 249,2,13,2,35,0
0250,City of Milwaukee Ward 250,6,16,0,24,1
0251,City of Milwaukee Ward 251,2,11,1,14,0
0252,City of Milwaukee Ward 252,3,21,0,43,0
0253,City of Milwaukee Ward 253,0,19,1,11,0
0254,City of Milwaukee Ward 254,0,10,1,14,0
0255,City of Milwaukee Ward 255,1,15,0,24,0
0256,City of Milwaukee Ward 256,1,17,0,9,0
0257,City of Milwaukee Ward 257,3,39,3,55,0
0258,City of Milwaukee Ward 258,5,50,7,94,0
0259,City of Milwaukee Ward 259,9,29,0,85,0
0260,City of Milwaukee Ward 260,7,44,0,63,0
0261,City of Milwaukee Ward 261,8,68,0,121,1
0262,City of Milwaukee Ward 262,12,107,1,209,0
0263,City of Milwaukee Ward 263,12,44,2,108,0
0264,City of Milwaukee Ward 264,27,123,1,234,1
0265,City of Milwaukee Ward 265,4,72,2,130,0
0266,City of Milwaukee Ward 266,8,56,1,164,0
0267,City of Milwaukee Ward 267,9,59,0,143,0
0268,City of Milwaukee Ward 268,8,120,4,281,2
0269,City of Milwaukee Ward 269,12,102,2,211,0
0270,City of Milwaukee Ward 270,7,84,3,210,1
0271,City of Milwaukee Ward 271,22,148,2,305,1
0272,City of Milwaukee Ward 272,18,103,3,228,0
0273,City of Milwaukee Ward 273,9,50,1,144,0
0274,City of Milwaukee Ward 274,12,54,2,122,1
0275,City of Milwaukee Ward 275,11,114,2,210,0
0276,City of Milwaukee Ward 276,23,145,5,355,0
0277,City of Milwaukee Ward 277,10,128,5,260,0
0278,City of Milwaukee Ward 278,9,56,2,153,0
0279,City of Milwaukee Ward 279,11,87,3,254,0
0280,City of Milwaukee Ward 280,22,214,5,274,0
0281,City of Milwaukee Ward 281,9,73,6,134,0
0282,City of  Ward 282,2,20,0,15,0
0283,City of Milwaukee Ward 283,11,56,3,107,3
0284,City of Milwaukee Ward 284,12,61,3,74,0
0285,City of Milwaukee Ward 285,1,12,0,10,0
0286,City of Milwaukee Ward 286,4,54,2,69,0
0287,City of Milwaukee Ward 287,4,41,2,102,0
0288,City of Milwaukee Ward 288,13,86,3,184,1
0289,City of Milwaukee Ward 289,10,67,2,114,0
0290,City of  Ward 290,5,37,1,43,1
0291,City of Milwaukee Ward 291,3,37,0,55,2
0292,City of  Ward 292,2,83,4,102,2
0293,City of Milwaukee Ward 293,8,111,2,158,0
0294,City of Milwaukee Ward 294,7,99,2,114,1
0295,City of Milwaukee Ward 295,7,104,6,104,0
0296,City of Milwaukee Ward 296,15,177,4,175,0
0297,City of Milwaukee Ward 297,12,189,3,136,0
0298,City of Milwaukee Ward 298,19,143,5,92,0
0299,City of Milwaukee Ward 299,10,158,5,142,0
0300,City of Milwaukee Ward 300,15,319,3,159,0
0301,City of Milwaukee Ward 301,19,171,1,214,0
0302,City of Milwaukee Ward 302,11,83,2,159,0
0303,City of Milwaukee Ward 303,18,176,11,241,1
0304,City of Milwaukee Ward 304,12,70,5,166,0
0305,City of  Ward 305,9,84,4,189,1
0306,City of Milwaukee Ward 306,13,103,4,136,1
0307,City of Milwaukee Ward 307,10,66,3,161,0
0308,City of Milwaukee Ward 308,5,47,2,79,0
0309,City of Milwaukee Ward 309,11,116,5,238,0
0310,City of Milwaukee Ward 310,1,15,0,36,0
0311,City of Milwaukee Ward 311,5,63,3,128,0
0312,City of Milwaukee Ward 312,14,121,0,262,0
0313,City of Milwaukee Ward 313,31,206,2,395,4
0314,City of Milwaukee Ward 314,8,63,1,185,1
0315,City of Milwaukee Ward 315,15,125,9,294,2
0316,City of  Ward 316,9,48,1,193,0
0317,City of Milwaukee Ward 317,17,92,2,167,1
0318,City of Milwaukee Ward 318,0,0,0,0,0
0319,City of Milwaukee Ward 319,0,0,0,0,0
0320,City of Milwaukee Ward 320,2,4,0,2,0
0321,City of Milwaukee Ward 321,1,6,0,17,0
0322,City of Milwaukee Ward 322,2,9,0,13,0
0323,City of  Ward 323,2,22,0,14,0
0324,City of  Ward 324,1,6,0,5,0
0325,City of Milwaukee Ward 325,7,64,2,23,0
0326,City of Milwaukee Ward 326,0,0,0,0,0
0327,City of Milwaukee Ward 327,0,0,0,0,0
