Milwaukee Public Schools Referendum,,,,
Ward,Yes,No,Over Votes ,Under Votes 
1,258,63,0,43
2,40,9,0,7
3,242,60,0,87
4,400,75,0,50
5,203,68,0,26
6,497,163,0,59
7,119,45,0,16
8,459,200,0,56
9,190,66,0,39
10,334,139,0,49
11,218,78,0,45
12,169,38,0,33
13,135,39,0,18
14,228,32,0,53
15,213,91,0,22
16,329,60,0,65
17,149,40,0,22
18,207,60,0,23
19,127,25,0,19
20,185,41,0,30
21,123,23,0,28
22,148,33,0,19
23,60,14,0,12
24,37,1,0,10
25,113,22,0,30
26,150,33,0,24
27,129,34,0,20
28,15,3,0,7
29,50,10,0,13
30,177,28,0,16
31,107,21,0,15
32,338,100,0,55
33,478,322,0,82
34,238,89,0,35
35,157,127,0,15
36,181,32,0,35
37,118,20,0,21
38,120,24,0,25
39,150,48,0,23
40,138,31,0,33
41,145,17,0,18
42,213,54,0,44
43,53,8,0,8
44,234,46,0,42
45,174,36,0,41
46,85,19,0,15
47,167,23,0,38
48,118,8,0,13
49,101,12,0,21
50,94,12,0,18
51,80,12,0,29
52,125,29,0,24
53,67,8,0,12
54,103,6,0,11
55,282,83,0,40
56,154,16,0,34
57,164,22,0,29
58,153,24,0,32
59,334,42,0,69
60,176,21,0,31
61,162,13,0,32
62,113,21,0,28
63,119,9,0,26
64,253,34,0,44
65,247,30,0,49
66,110,16,0,23
67,98,9,0,18
68,226,55,0,48
69,195,24,0,30
70,327,66,0,65
71,185,34,0,25
72,262,47,0,51
73,247,57,0,46
74,161,35,0,35
75,222,75,0,28
76,155,38,0,40
77,132,45,0,29
78,242,73,0,35
79,266,84,0,42
80,403,160,0,70
81,160,62,0,10
82,250,168,0,22
83,282,120,0,31
84,192,94,0,28
85,280,155,0,28
86,304,122,0,28
87,197,65,0,19
88,275,78,0,16
89,273,95,0,26
90,272,89,0,30
91,321,55,0,51
92,431,123,0,37
93,286,117,0,11
94,89,13,0,16
95,126,29,0,17
96,351,59,0,45
97,273,70,0,27
98,220,24,0,32
99,329,54,0,44
100,170,23,0,37
101,265,33,0,46
102,346,44,0,55
103,352,55,0,44
104,241,33,0,49
105,76,9,0,20
106,72,5,0,17
107,125,5,0,31
108,126,12,0,32
109,127,8,0,22
110,64,3,0,20
111,85,4,0,14
112,86,6,0,31
113,99,7,0,31
114,111,11,0,23
115,186,18,0,44
116,70,7,0,14
117,73,10,0,23
118,111,7,0,28
119,137,13,0,38
120,82,5,0,21
121,125,9,0,33
122,147,16,0,23
123,290,31,0,29
124,199,25,0,13
125,616,64,0,47
126,445,45,0,31
127,502,75,0,35
128,530,43,0,27
129,414,84,0,23
130,93,14,0,7
131,440,154,0,39
132,706,205,0,97
133,357,25,0,24
134,368,55,0,24
135,479,51,0,41
136,334,31,0,30
137,310,33,0,21
138,1070,72,0,65
139,513,45,0,35
140,73,4,0,18
141,125,25,0,33
142,144,17,0,14
143,79,11,0,13
144,83,14,0,14
145,48,3,0,8
146,38,3,0,11
147,114,6,0,31
148,120,14,0,23
149,111,13,0,22
150,119,14,0,29
151,55,3,0,15
152,69,8,0,18
153,180,26,0,44
154,142,16,0,16
155,78,4,0,10
156,151,26,0,32
157,134,21,0,16
158,136,20,0,18
159,121,14,0,17
160,144,12,0,25
161,40,5,0,11
162,73,10,0,13
163,149,15,0,20
164,208,40,0,34
165,208,45,0,33
166,114,19,0,12
167,361,97,0,30
168,747,175,0,47
169,78,9,0,13
170,68,5,0,13
171,18,4,0,7
172,65,9,0,16
173,153,26,0,44
174,206,27,0,45
175,131,31,0,22
176,102,8,0,26
177,777,156,0,62
178,527,88,0,60
179,586,84,0,60
180,448,85,0,34
181,669,139,0,101
182,566,86,0,62
183,779,125,0,65
184,437,147,0,58
185,694,166,0,49
186,762,291,0,78
187,223,35,0,18
188,164,32,0,13
189,152,39,0,29
190,164,29,0,14
191,50,1,0,5
192,80,7,0,9
193,130,15,0,24
194,99,10,0,21
195,90,7,0,16
196,113,23,0,18
197,72,12,0,8
198,128,25,0,39
199,119,19,0,16
200,106,19,0,12
201,78,7,0,13
202,234,50,0,38
203,454,117,0,27
204,376,89,0,25
205,290,81,0,20
206,279,105,0,20
207,174,110,0,31
208,232,127,0,17
209,193,120,0,22
210,134,101,0,12
211,161,97,0,19
212,191,95,0,22
213,200,88,0,30
214,108,38,0,21
215,69,13,0,9
216,58,14,0,9
217,110,41,0,20
218,156,51,0,17
219,88,19,0,17
220,119,38,0,15
221,233,86,0,36
222,76,12,0,11
223,103,36,0,16
224,58,22,0,8
225,63,17,0,12
226,47,3,0,9
227,118,13,0,19
228,71,8,0,6
229,57,10,0,8
230,77,10,0,16
231,57,6,0,10
232,40,2,0,5
233,37,4,0,3
234,101,10,0,13
235,577,120,0,58
236,85,21,0,15
237,99,11,0,17
238,79,17,0,10
239,78,26,0,9
240,148,28,0,18
241,539,77,0,38
242,385,67,0,31
243,514,142,0,42
244,441,90,0,27
245,331,111,0,24
246,606,147,0,33
247,304,67,0,18
248,575,107,0,40
249,72,23,0,16
250,68,15,0,7
251,45,9,0,8
252,74,20,0,11
253,26,10,0,2
254,20,11,0,3
255,41,9,0,6
256,47,12,0,6
257,113,27,0,17
258,145,67,0,15
259,115,43,0,10
260,98,44,0,10
261,148,79,0,13
262,311,161,0,20
263,142,71,0,26
264,283,190,0,49
265,162,82,0,13
266,152,118,0,28
267,161,86,0,20
268,306,233,0,43
269,182,124,0,30
270,156,139,0,37
271,357,226,0,66
272,215,196,0,46
273,120,112,0,16
274,127,88,0,13
275,273,182,0,48
276,334,243,0,53
277,311,211,0,41
278,129,105,0,20
279,208,146,0,25
280,474,207,0,55
281,186,103,0,18
282,48,13,0,13
283,154,71,0,19
284,137,42,0,14
285,33,24,0,2
286,85,39,1,10
287,125,56,0,12
288,234,139,0,30
289,151,67,0,17
290,102,36,0,7
291,104,54,0,14
292,176,70,0,21
293,246,97,0,24
294,214,96,0,25
295,307,106,0,17
296,380,129,0,29
297,404,117,0,25
298,317,76,0,19
299,389,133,0,33
300,643,156,0,28
301,396,159,0,24
302,219,120,0,29
303,401,214,0,34
304,238,124,0,29
305,240,128,0,26
306,181,99,0,22
307,155,128,0,31
308,108,54,0,23
309,257,190,0,24
310,52,30,0,7
311,131,88,0,16
312,206,213,0,26
313,376,297,0,56
314,135,153,0,19
315,248,229,0,32
316,142,122,0,19
317,237,138,0,21
318,0,0,0,0
319,0,0,0,0
320,8,2,0,2
321,28,4,0,5
322,27,4,0,1
323,33,11,0,7
324,14,6,0,8
325,178,28,0,7
326,0,0,0,1
327,0,0,0,0
